9 // Number of waterlines
22 // Number of stations
1 // Read deckline
1 // Read contour
1 // Read aft contour
1 // Read forward contour
0 // Read flat of bottom
215,000 // Length
31,100 // Beam
8,573 // Draft
         0,000    1,000    2,000    3,000    4,000    5,000    6,000    7,000    8,000   
         20,840   18,754   15,961   7,730    8,547    8,547    6,886    3,391    0,996   
0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   15,328   0,000    8,574   
10,0000  0,0000   0,0897   0,0897   0,4477   0,5025   0,6888   1,3232   2,4007   3,4759   15,249   0,000    0,100   
20,0000  0,0000   0,4267   0,5046   1,0573   1,9511   3,2205   4,4856   5,5329   6,3667   15,155   0,000    0,415   
30,0000  0,4611   0,7759   1,5319   2,8900   4,4723   5,9734   7,1733   8,0209   8,6191   20,106   0,000    0,000   
40,0000  0,5821   1,8374   3,4778   5,4127   7,1534   8,4855   9,4134   10,0325  10,4561  21,804   0,980    0,000   
50,0000  0,8413   3,7259   6,1058   8,1111   9,5892   10,6299  11,2994  11,7308  12,0278  22,601   0,000    0,000   
60,0000  1,4378   6,1047   8,6496   10,4139  11,5525  12,3298  12,8033  13,0973  13,2732  22,601   4,847    0,000   
70,0000  2,8710   8,2898   10,7772  12,2240  13,0673  13,6364  13,9516  14,1274  14,2168  22,701   4,441    0,000   
80,0000  4,8267   10,1937  12,3572  13,5330  14,1732  14,5652  14,7576  14,8483  14,8867  24,576   2,042    0,000   
90,0000  6,9329   11,3956  13,2967  14,3141  14,8399  15,1267  15,2335  15,2632  15,2728  20,101   0,000    0,000   
100,0000 8,1974   12,0859  13,6941  14,6442  15,1181  15,3891  15,4692  15,4753  15,4888  32,702   2,512    0,000   
110,0000 8,3757   12,1332  13,5799  14,5139  14,9667  15,2364  15,3300  15,3501  15,3635  32,702   1,084    0,000   
120,0000 8,0772   11,6372  13,0344  13,9360  14,3836  14,6720  14,7903  14,8264  14,8336  17,618   0,000    0,000   
130,0000 7,5007   10,7044  12,0028  12,8965  13,3711  13,7095  13,8715  13,9384  13,9616  21,262   5,662    0,000   
140,0000 6,0689   9,3367   10,5737  11,4709  11,9787  12,3499  12,5508  12,6575  12,7124  21,370   3,002    0,000   
150,0000 4,3170   7,7137   8,9521   9,8138   10,3345  10,7150  10,9235  11,0383  11,1036  15,334   0,000    0,000   
160,0000 2,6977   5,8835   7,1451   7,9906   8,4861   8,8404   9,0254   9,1275   9,1764   18,227   5,096    0,000   
170,0000 1,4720   4,1821   5,3144   6,0799   6,4924   6,7771   6,9211   7,0054   7,0603   17,247   3,001    0,000   
180,0000 0,8306   2,7616   3,6291   4,1911   4,4630   4,6438   4,7427   4,8112   4,8883   16,023   0,000    0,000   
190,0000 0,4287   1,7112   2,2695   2,5312   2,5954   2,6432   2,6843   2,7444   2,8313   16,409   0,000    0,000   
200,0000 0,0000   0,7847   1,1237   1,2174   1,1482   1,0893   1,0877   1,1332   1,1868   16,905   0,000    0,008    
         197,131  205,179  206,238  207,008  207,499  207,825  208,025  208,148  208,278 











































