7 // Number of waterlines
23 // Number of stations
1 // Read deckline
1 // Read contour
1 // Read aft contour
1 // Read forward contour
0 // Read flat of bottom
114,400 // Length
16,560 // Beam
7,400 // Draft
         1,000    2,000    3,000    4,000    5,000    6,000    7,000   
         96,306   93,404   10,642   7,757    3,795    -1,342   -8,231  
0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   1,3262   4,8881   10,946   6,627    5,764   
5,0000   0,0000   0,0000   0,0000   0,0000   1,0179   3,9164   5,6762   10,767   7,045    4,722   
10,0000  0,0000   0,0000   0,0000   1,1944   3,0348   5,0461   6,2099   10,655   7,367    3,266   
15,0000  0,0000   0,0000   0,9004   2,4201   4,3140   5,7598   6,6214   10,585   7,639    2,437   
20,0000  0,0000   0,0000   1,3982   3,5656   5,2500   6,3017   6,9569   10,565   7,868    2,437   
25,0000  0,0000   0,0000   2,1586   4,5651   5,9402   6,7118   7,2068   10,611   8,028    2,437   
30,0000  0,0000   0,0000   2,9442   5,2955   6,4016   7,0034   7,3881   10,699   8,117    2,437   
35,0000  0,0000   0,0000   3,5967   5,7998   6,7097   7,2073   7,5172   10,815   8,173    2,437   
40,0000  0,0000   0,0000   4,0417   6,0903   6,8899   7,3300   7,5958   10,956   8,220    2,437   
45,0000  0,0000   0,0000   4,2335   6,1850   6,9537   7,3770   7,6261   11,123   8,259    2,437   
50,0000  0,0000   0,0000   4,1902   6,1018   6,9076   7,3551   7,6124   11,310   8,273    2,437   
55,0000  0,0000   0,0000   3,9402   5,8379   6,7368   7,2543   7,5477   11,513   8,249    2,437   
60,0000  0,0000   0,0000   3,4708   5,3902   6,4072   7,0390   7,4013   11,728   8,186    2,437   
65,0000  0,0000   0,0000   2,8165   4,7805   5,8984   6,6722   7,1402   11,954   8,085    2,437   
70,0000  0,0000   0,0000   2,1493   4,0825   5,2476   6,1432   6,7349   12,203   7,939    2,437   
75,0000  0,0000   0,0000   1,6052   3,3871   4,5387   5,4811   6,1737   12,486   7,739    2,437   
80,0000  0,0000   0,0000   1,2008   2,7348   3,8272   4,7392   5,4697   12,812   7,476    2,437   
85,0000  0,0000   0,0000   0,9289   2,1501   3,1041   3,9281   4,6176   13,194   7,123    2,437   
90,0000  0,0000   0,0000   0,7142   1,6133   2,3273   2,9782   3,5509   13,683   6,621    2,437   
95,0000  0,0000   0,2653   0,4547   1,0571   1,5114   1,9343   2,3442   14,203   6,049    1,277   
100,0000 1,7277   1,6138   0,8268   0,5860   0,7192   0,9175   1,1619   14,690   5,275    0,358   
105,0000 1,8045   1,7674   0,4617   0,0970   0,1181   0,1566   0,2348   15,082   4,053    0,129   
110,0000 0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   15,348   2,382    12,550  
         106,059  106,051  105,618  105,471  105,491  105,690  106,038 
